fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_groupdro_ppo_stochastic,182,8,0.04395604,0.01780220,0.91054075,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_only_stochastic,182,8,0.04395604,0.01934066,0.96593072,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,modern_cnn,ppo_only_stochastic,182,7,0.03846154,0.01368132,0.99711664,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,modern_cnn,random_action,182,7,0.03846154,0.01126374,0.99906445,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,modern_cnn,score_greedy,182,8,0.04395604,0.01252747,0.99934445,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,transformer,bandit_action,146,8,0.05479452,0.04013699,0.98932565,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,transformer,gradient_bc_groupdro_ppo_stochastic,146,19,0.13013699,0.06212329,0.91202818,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,transformer,gradient_bc_only_stochastic,146,19,0.13013699,0.06061644,0.96609562,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,transformer,ppo_only_stochastic,146,17,0.11643836,0.04678082,0.99719932,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,transformer,random_action,146,14,0.09589041,0.04342466,0.99825520,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,transformer,score_greedy,146,14,0.09589041,0.03739726,0.99931269,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,modern_cnn,bandit_action,361,3,0.00831025,0.00650970,0.99573403,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,modern_cnn,gradient_bc_groupdro_ppo_stochastic,361,17,0.04709141,0.02096953,0.95156720,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,modern_cnn,gradient_bc_only_stochastic,361,17,0.04709141,0.01897507,0.96843456,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,modern_cnn,ppo_only_stochastic,361,16,0.04432133,0.01972299,0.99827749,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,modern_cnn,random_action,361,16,0.04432133,0.01700831,0.99955116,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,modern_cnn,score_greedy,361,12,0.03324100,0.01806094,0.99969182,50
